"","times","import_TO_cumul","CaseCount_TO","predict_TO","import_TO"
"1",1,1,1,NA,0
"2",2,1,1,NA,0
"3",3,2,2,NA,1
"4",4,2,2,NA,0
"5",5,2,2,NA,0
"6",6,2,2,NA,0
"7",7,2,2,NA,0
"8",8,2,2,NA,0
"9",9,2,2,NA,0
"10",10,2,2,NA,0
"11",11,2,2,NA,0
"12",12,2,2,NA,0
"13",13,2,2,NA,0
"14",14,2,2,NA,0
"15",15,2,2,NA,0
"16",16,2,2,NA,0
"17",17,2,2,NA,0
"18",18,2,2,NA,0
"19",19,2,2,NA,0
"20",20,2,2,NA,0
"21",21,2,2,NA,0
"22",22,2,2,NA,0
"23",23,2,2,NA,0
"24",24,2,2,NA,0
"25",25,2,2,NA,0
"26",26,2,2,NA,0
"27",27,2,2,NA,0
"28",28,2,2,NA,0
"29",29,2,2,NA,0
"30",30,3,3,NA,1
"31",31,3,3,NA,0
"32",32,3,3,NA,0
"33",33,4,4,NA,1
"34",34,4,4,NA,0
"35",35,6,6,5.53571428571431,2
"36",36,8,8,8.04642857142859,2
"37",37,12,12,10.5571428571429,4
"38",38,12,12,13.0678571428572,0
"39",39,17,17,15.5785714285714,5
"40",40,17,17,18.0892857142857,0
"41",41,18,18,20.6,1
"42",42,24,24,23.1107142857143,6
"43",43,24,24,25.6214285714286,0
"44",44,28,28,28.1321428571429,4
"45",45,30,30,30.6428571428571,2
"46",46,31,31,33.1535714285714,1
"47",47,35,35,35.6642857142857,4
"48",48,38,43,38.175,3
"49",49,41,NA,40.6857142857143,3
"50",50,43,NA,43.1964285714286,2
"51",51,46,NA,45.7071428571428,3
"52",52,48,NA,48.2178571428571,2
"53",53,51,NA,50.7285714285714,3
"54",54,53,NA,53.2392857142857,2
"55",55,56,NA,55.75,3
"56",56,58,NA,58.2607142857143,2
"57",57,61,NA,60.7714285714285,3
"58",58,63,NA,63.2821428571428,2
"59",59,66,NA,65.7928571428571,3
"60",60,68,NA,68.3035714285714,2
"61",61,71,NA,70.8142857142857,3
"62",62,73,NA,73.3249999999999,2
"63",63,76,NA,75.8357142857142,3
"64",64,78,NA,78.3464285714285,2
"65",65,81,NA,80.8571428571428,3
"66",66,83,NA,83.3678571428571,2
"67",67,86,NA,85.8785714285714,3
"68",68,88,NA,88.3892857142857,2
"69",69,91,NA,90.8999999999999,3
"70",70,93,NA,93.4107142857142,2
"71",71,96,NA,95.9214285714285,3
"72",72,98,NA,98.4321428571428,2
"73",73,101,NA,100.942857142857,3
"74",74,103,NA,103.453571428571,2
"75",75,106,NA,105.964285714286,3
"76",76,108,NA,108.475,2
"77",77,111,NA,110.985714285714,3
"78",78,113,NA,113.496428571428,2
"79",79,116,NA,116.007142857143,3
"80",80,119,NA,118.517857142857,3
"81",81,121,NA,121.028571428571,2
"82",82,124,NA,123.539285714286,3
"83",83,126,NA,126.05,2
"84",84,129,NA,128.560714285714,3
"85",85,131,NA,131.071428571428,2
"86",86,134,NA,133.582142857143,3
"87",87,136,NA,136.092857142857,2
"88",88,139,NA,138.603571428571,3
"89",89,141,NA,141.114285714286,2
"90",90,144,NA,143.625,3
"91",91,146,NA,146.135714285714,2
"92",92,149,NA,148.646428571428,3
"93",93,151,NA,151.157142857143,2
"94",94,154,NA,153.667857142857,3
"95",95,156,NA,156.178571428571,2
"96",96,159,NA,158.689285714286,3
"97",97,161,NA,161.2,2
"98",98,164,NA,163.710714285714,3
"99",99,166,NA,166.221428571428,2
"100",100,169,NA,168.732142857143,3
"101",101,171,NA,171.242857142857,2
"102",102,174,NA,173.753571428571,3
"103",103,176,NA,176.264285714286,2
"104",104,179,NA,178.775,3
"105",105,181,NA,181.285714285714,2
"106",106,184,NA,183.796428571428,3
"107",107,186,NA,186.307142857143,2
"108",108,189,NA,188.817857142857,3
"109",109,191,NA,191.328571428571,2
"110",110,194,NA,193.839285714285,3
"111",111,196,NA,196.35,2
"112",112,199,NA,198.860714285714,3
"113",113,201,NA,201.371428571428,2
"114",114,204,NA,203.882142857143,3
"115",115,206,NA,206.392857142857,2
"116",116,209,NA,208.903571428571,3
"117",117,211,NA,211.414285714285,2
"118",118,214,NA,213.925,3
"119",119,216,NA,216.435714285714,2
"120",120,219,NA,218.946428571428,3
"121",121,221,NA,221.457142857143,2
"122",122,224,NA,223.967857142857,3
"123",123,226,NA,226.478571428571,2
"124",124,229,NA,228.989285714285,3
"125",125,231,NA,231.5,2
"126",126,234,NA,234.010714285714,3
"127",127,237,NA,236.521428571428,3
"128",128,239,NA,239.032142857143,2
"129",129,242,NA,241.542857142857,3
"130",130,244,NA,244.053571428571,2
"131",131,247,NA,246.564285714285,3
"132",132,249,NA,249.075,2
"133",133,252,NA,251.585714285714,3
"134",134,254,NA,254.096428571428,2
"135",135,257,NA,256.607142857143,3
"136",136,259,NA,259.117857142857,2
"137",137,262,NA,261.628571428571,3
"138",138,264,NA,264.139285714285,2
"139",139,267,NA,266.65,3
"140",140,269,NA,269.160714285714,2
"141",141,272,NA,271.671428571428,3
"142",142,274,NA,274.182142857143,2
"143",143,277,NA,276.692857142857,3
"144",144,279,NA,279.203571428571,2
"145",145,282,NA,281.714285714285,3
"146",146,284,NA,284.225,2
"147",147,287,NA,286.735714285714,3
"148",148,289,NA,289.246428571428,2
"149",149,292,NA,291.757142857143,3
"150",150,294,NA,294.267857142857,2
"151",151,297,NA,296.778571428571,3
"152",152,299,NA,299.289285714285,2
"153",153,302,NA,301.8,3
"154",154,304,NA,304.310714285714,2
"155",155,307,NA,306.821428571428,3
"156",156,309,NA,309.332142857143,2
"157",157,312,NA,311.842857142857,3
"158",158,314,NA,314.353571428571,2
"159",159,317,NA,316.864285714285,3
"160",160,319,NA,319.375,2
"161",161,322,NA,321.885714285714,3
"162",162,324,NA,324.396428571428,2
"163",163,327,NA,326.907142857143,3
"164",164,329,NA,329.417857142857,2
"165",165,332,NA,331.928571428571,3
"166",166,334,NA,334.439285714285,2
"167",167,337,NA,336.95,3
"168",168,339,NA,339.460714285714,2
"169",169,342,NA,341.971428571428,3
"170",170,344,NA,344.482142857142,2
"171",171,347,NA,346.992857142857,3
"172",172,350,NA,349.503571428571,3
"173",173,352,NA,352.014285714285,2
"174",174,355,NA,354.525,3
"175",175,357,NA,357.035714285714,2
"176",176,360,NA,359.546428571428,3
"177",177,362,NA,362.057142857142,2
"178",178,365,NA,364.567857142857,3
"179",179,367,NA,367.078571428571,2
"180",180,370,NA,369.589285714285,3
"181",181,372,NA,372.1,2
"182",182,375,NA,374.610714285714,3
"183",183,377,NA,377.121428571428,2
"184",184,380,NA,379.632142857142,3
"185",185,382,NA,382.142857142857,2
"186",186,385,NA,384.653571428571,3
"187",187,387,NA,387.164285714285,2
"188",188,390,NA,389.675,3
"189",189,392,NA,392.185714285714,2
"190",190,395,NA,394.696428571428,3
"191",191,397,NA,397.207142857142,2
"192",192,400,NA,399.717857142857,3
"193",193,402,NA,402.228571428571,2
"194",194,405,NA,404.739285714285,3
"195",195,407,NA,407.25,2
"196",196,410,NA,409.760714285714,3
"197",197,412,NA,412.271428571428,2
"198",198,415,NA,414.782142857142,3
"199",199,417,NA,417.292857142857,2
"200",200,420,NA,419.803571428571,3
"201",201,422,NA,422.314285714285,2
"202",202,425,NA,424.825,3
"203",203,427,NA,427.335714285714,2
"204",204,430,NA,429.846428571428,3
"205",205,432,NA,432.357142857142,2
"206",206,435,NA,434.867857142857,3
"207",207,437,NA,437.378571428571,2
"208",208,440,NA,439.889285714285,3
"209",209,442,NA,442.4,2
"210",210,445,NA,444.910714285714,3
"211",211,447,NA,447.421428571428,2
"212",212,450,NA,449.932142857142,3
"213",213,452,NA,452.442857142857,2
"214",214,455,NA,454.953571428571,3
"215",215,457,NA,457.464285714285,2
"216",216,460,NA,459.975,3
"217",217,462,NA,462.485714285714,2
"218",218,465,NA,464.996428571428,3
"219",219,468,NA,467.507142857142,3
"220",220,470,NA,470.017857142857,2
"221",221,473,NA,472.528571428571,3
"222",222,475,NA,475.039285714285,2
"223",223,478,NA,477.55,3
"224",224,480,NA,480.060714285714,2
"225",225,483,NA,482.571428571428,3
"226",226,485,NA,485.082142857142,2
"227",227,488,NA,487.592857142857,3
"228",228,490,NA,490.103571428571,2
"229",229,493,NA,492.614285714285,3
"230",230,495,NA,495.124999999999,2
"231",231,498,NA,497.635714285714,3
"232",232,500,NA,500.146428571428,2
"233",233,503,NA,502.657142857142,3
"234",234,505,NA,505.167857142857,2
"235",235,508,NA,507.678571428571,3
"236",236,510,NA,510.189285714285,2
"237",237,513,NA,512.699999999999,3
"238",238,515,NA,515.210714285714,2
"239",239,518,NA,517.721428571428,3
"240",240,520,NA,520.232142857142,2
"241",241,523,NA,522.742857142857,3
"242",242,525,NA,525.253571428571,2
"243",243,528,NA,527.764285714285,3
"244",244,530,NA,530.275,2
"245",245,533,NA,532.785714285714,3
"246",246,535,NA,535.296428571428,2
"247",247,538,NA,537.807142857142,3
"248",248,540,NA,540.317857142857,2
"249",249,543,NA,542.828571428571,3
"250",250,545,NA,545.339285714285,2
"251",251,548,NA,547.849999999999,3
"252",252,550,NA,550.360714285714,2
"253",253,553,NA,552.871428571428,3
"254",254,555,NA,555.382142857142,2
"255",255,558,NA,557.892857142857,3
"256",256,560,NA,560.403571428571,2
"257",257,563,NA,562.914285714285,3
"258",258,565,NA,565.424999999999,2
"259",259,568,NA,567.935714285714,3
"260",260,570,NA,570.446428571428,2
"261",261,573,NA,572.957142857142,3
"262",262,575,NA,575.467857142857,2
"263",263,578,NA,577.978571428571,3
"264",264,580,NA,580.489285714285,2
"265",265,583,NA,582.999999999999,3
"266",266,586,NA,585.510714285714,3
"267",267,588,NA,588.021428571428,2
"268",268,591,NA,590.532142857142,3
"269",269,593,NA,593.042857142857,2
"270",270,596,NA,595.553571428571,3
"271",271,598,NA,598.064285714285,2
"272",272,601,NA,600.574999999999,3
"273",273,603,NA,603.085714285714,2
"274",274,606,NA,605.596428571428,3
"275",275,608,NA,608.107142857142,2
"276",276,611,NA,610.617857142857,3
"277",277,613,NA,613.128571428571,2
"278",278,616,NA,615.639285714285,3
"279",279,618,NA,618.149999999999,2
"280",280,621,NA,620.660714285714,3
"281",281,623,NA,623.171428571428,2
"282",282,626,NA,625.682142857142,3
"283",283,628,NA,628.192857142856,2
"284",284,631,NA,630.703571428571,3
"285",285,633,NA,633.214285714285,2
"286",286,636,NA,635.724999999999,3
"287",287,638,NA,638.235714285714,2
"288",288,641,NA,640.746428571428,3
"289",289,643,NA,643.257142857142,2
"290",290,646,NA,645.767857142857,3
"291",291,648,NA,648.278571428571,2
"292",292,651,NA,650.789285714285,3
"293",293,653,NA,653.299999999999,2
"294",294,656,NA,655.810714285714,3
"295",295,658,NA,658.321428571428,2
"296",296,661,NA,660.832142857142,3
"297",297,663,NA,663.342857142856,2
"298",298,666,NA,665.853571428571,3
"299",299,668,NA,668.364285714285,2
"300",300,671,NA,670.874999999999,3
