"","time","S","E","I_sc","I_c","I_ct","I_ch","I_cicu","death","R","R_ct","N_contact","N","CumIncid","Cum_import","Cum_ss","CumIncid_tot","CumED_ct","CumAdmit","CumICU","Cumdx_ct","Cumdx_admicu","Cumdx_tot","pSet","dur_latent","dur_incubation","dur_symptomatic","dur_admitted","dur_icu","prob_test","prob_admit_diagnosed","condprob_icu","condprob_cfr","R0","initpop","seed_backCalc","prop_travel_test","drop_Reffective","social_distancing","tau_1","tau_2","tau_1_max","tau_2_max","when_test_increase","Ncases_trigger","serial_interval","event_ss","event_ss_modulo","cfr_among_dx","import_travel","prob_diagnosed","prob_test_max","dur_subclinical","dur_inf","beta","omega","alpha","g1","g2","g3","rate_icu","death_rate","length_of_stay","parm_import","prob_admit","min_SI_calc","max_SI_calc","valid_si_check","validity_cfr_among_dx","valid_cfr_check","prob_test_max_valid","valid_prob_test_max_check","valid_tau_1_check","valid_tau_2_check","valid_prob_test_check","valid_keep","LHS_seed"
"1",0,6196531,0,100,100,0,0,0,0,0,0,6196731,6196731,0,0,0,0,0,0,0,0,0,0,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"2",1,6196480.29756629,39.8386357583923,82.9323975756404,108.775390165287,2.45417779605835,1.43277782833835,0.0388514779376679,0.00155782668184476,14.980265854465,0.24837942718939,6196727.07263507,6196731,45.7024337099899,0,5,50.70243370999,2.63951733552796,1.53622702067765,0.0421102854972098,0.0195274694503012,0.0620601750422511,0.0815876444925523,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"3",2,6196429.63415608,64.0844697024405,83.6315140934612,114.680522261565,4.39253252363684,2.57727851789635,0.131503088670821,0.0109153998216586,30.9486837705893,0.908424557931535,6196723.88777047,6196731,91.3658513400693,5.967531133216e-12,9.99999257593768,101.365843916013,5.06991178135108,2.95074230660612,0.154336942955638,0.0713690278886877,0.231119273394137,0.302488301282825,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"4",3,6196380.84306152,76.9859684047497,91.7231148498032,121.433460235612,6.30448157244169,3.69500747336502,0.259617311023347,0.0330029862506163,47.7906906278486,1.93159502071099,6196720.70789065,6196731,139.656941469493,0.500000077433569,9.99999693487824,150.156938481805,7.7440723262928,4.4796320374989,0.328656044493752,0.151676024161993,0.499031640583719,0.650707664745715,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"5",4,6196327.99093703,88.0402023308722,102.697043085278,129.677283674878,8.22511864594925,4.83914185558034,0.416709365835872,0.0714678878683419,65.7153971308622,3.32669899533613,6196717.44756224,6196731,192.009065763491,1.00000027409119,9.99999693487824,203.009062972461,10.7041867849729,6.17494996559707,0.56621257820482,0.26119589747842,0.870022418583021,1.13121831606144,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"6",5,6196270.75033981,98.6161081292419,115.329711291411,139.423460613316,10.1311836456804,6.02021851318947,0.597601236526068,0.12931327425771,84.9134557345845,5.08860774708841,6196714.12168333,6196731,249.249660896682,1.00000235373523,9.99999693487824,260.249660185296,13.9202131746867,8.04671124205538,0.868110838532066,0.399214105018838,1.34780439772138,1.74701850274022,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"7",6,6196207.86660271,109.495939642473,129.160945766278,151.157354882823,12.1485257122968,7.28329374859041,0.800497849757148,0.20913337181017,105.645418246823,7.23228806570538,6196710.55854932,6196731,312.133397997943,1.00000235373523,9.99999693487824,323.133397286557,17.5275305948806,10.1462081532793,1.23798259754721,0.566734728154995,1.93946154950843,2.50619627766343,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"8",7,6196138.60199783,121.14016966981,144.112309828802,164.896038176873,14.2936292759174,8.63851732712995,1.02504467188213,0.313420810392741,128.196728628759,9.78214377578304,6196706.72938792,6196731,381.398002876735,1.00000235373523,9.99999693487824,392.398002165349,21.5597521144347,12.4930037466706,1.68068763789947,0.765562449099291,2.65378413110242,3.41934658020172,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"9",8,6196062.21037099,133.836236571154,160.28023445771,180.660057311699,16.5814230945706,10.0950862211878,1.27142699479716,0.444660343478344,152.854963329965,12.7655406867736,6196702.60740335,6196731,457.789629722721,1.00000235373523,9.99999693487824,468.789629011335,26.0511136517715,15.107023689036,2.20160909120329,0.997731480226745,3.50031451328296,4.49804599350971,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"10",9,6195977.90435513,147.791562345908,177.838650708509,198.502081586253,19.0287215199955,11.6633100712493,1.54027042875791,0.605383425863125,179.912767950576,16.21289683301,6196698.16231456,6196731,542.095645581509,1.00000235373523,9.99999693487824,553.095644870123,31.0399835290121,18.0105987498638,2.80666810162866,1.26551275897125,4.48940682925391,5.75491958822516,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
