"","time","S","E","I_sc","I_c","I_ct","I_ch","I_cicu","death","R","R_ct","N_contact","N","CumIncid","Cum_import","Cum_ss","CumIncid_tot","CumED_ct","CumAdmit","CumICU","Cumdx_ct","Cumdx_admicu","Cumdx_tot","pSet","dur_latent","dur_incubation","dur_symptomatic","dur_admitted","dur_icu","prob_test","prob_admit_diagnosed","condprob_icu","condprob_cfr","R0","initpop","seed_backCalc","prop_travel_test","drop_Reffective","social_distancing","tau_1","tau_2","tau_1_max","tau_2_max","when_test_increase","Ncases_trigger","serial_interval","event_ss","event_ss_modulo","cfr_among_dx","cfr_among_admit","import_travel","prob_diagnosed","prob_test_max","dur_subclinical","dur_inf","beta","omega","alpha","g1","g2","g3","rate_icu","death_rate","length_of_stay","parm_import","prob_admit","min_SI_calc","max_SI_calc","valid_si_check","validity_cfr_among_dx","valid_cfr_check","prob_test_max_valid","valid_prob_test_max_check","valid_tau_1_check","valid_tau_2_check","valid_prob_test_check","valid_keep","LHS_seed"
"1",0,6196531,0,100,100,0,0,0,0,0,0,6196731,6196731,0,0,0,0,0,0,0,0,0,0,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"2",1,6196479.76879663,39.8641270754472,82.9354794155104,109.136178440777,2.54435194097525,1.45907169129157,0.0393164082647861,0.00157138191057169,14.9976449162408,0.253462097251793,6196726.95568858,6196731,45.7312056255987,0.499997742070079,5,51.2312033676688,2.73403569147484,1.56373782821912,0.042603571919625,0.0199851777645478,0.0627838536380477,0.0827690314025954,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"3",2,6196428.46602606,64.2120993100825,83.66687879497,115.341154819835,4.55711200122995,2.62566671562859,0.133974870468634,0.0110901941480258,31.0484197461984,0.937577485125906,6196723.67215622,6196731,91.5339804410722,0.999993540976862,9.99999995563752,102.533973937687,5.25939649580623,3.00602477079488,0.157174375874189,0.0739930564870536,0.2353501042379,0.309343160724953,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"4",3,6196379.51291949,77.1908089712381,91.8226629822496,122.022676351772,6.44898821972745,3.73858540620609,0.263826066833957,0.0335667281455454,47.9793780718552,1.98658771525566,6196720.51503358,6196731,139.987084192787,1.49999636485951,9.99999995563752,151.487080513284,7.93550566537994,4.5360484707888,0.334044088328015,0.156620244608297,0.50722882065692,0.663849065265209,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"5",4,6196326.49595717,88.2943332025761,102.869684129338,130.221923399978,8.35415052373144,4.87982360768385,0.422097383903299,0.0725850574836904,65.9847678149771,3.40467770775341,6196717.27134343,6196731,192.504037909071,2.00000496271723,9.99999995563752,204.504042827426,10.8996328783026,6.23370140225314,0.573937596164608,0.26819333347551,0.88199244980467,1.15018578328017,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"6",5,6196269.08098046,98.9078524566511,115.573902172258,139.947491561535,10.2488047472536,6.05966368147897,0.603817677458719,0.131097227971309,85.2589015063139,5.18748850900652,6196713.95661667,6196731,249.919011764481,2.00000781980882,9.99999995563752,261.919019539928,14.1218222730632,8.10904957010603,0.878059120699368,0.408063123671085,1.36346245853433,1.77152558220541,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"7",6,6196206.00893966,109.821563352614,129.472619173849,151.680728768939,12.2581668943575,7.32286110704824,0.807341230641905,0.211666218150443,106.065465076543,7.35064852260792,6196710.39996455,6196731,312.991052569306,2.00000781980882,9.99999995563752,324.991060344752,17.7373556928002,10.2133282800059,1.25012442330843,0.577290157190501,1.95882241360178,2.53611257079228,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"8",7,6196136.53875241,121.500104672282,144.487778089462,165.435111652173,14.3981606404709,8.6793116851609,1.03241667241757,0.316767921565217,128.692484400601,9.91911186211576,6196706.57334309,6196731,382.461239820802,2.00000781980882,9.99999995563752,394.461247596248,21.7797337158326,12.5660350658978,1.6950614386471,0.777726345586035,2.67694945501012,3.45467580059614,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"9",8,6196059.92150031,134.232780878189,160.717692309658,181.228220606267,16.6832448493747,10.138010746955,1.27929998330062,0.448880071047577,153.429665195285,12.9207050504438,6196702.45056435,6196731,459.078491915075,2.00000781980882,9.99999995563752,471.078499690522,26.2830992434746,15.1870414576471,2.21830930051513,1.01144560920241,3.52746208633547,4.53890769553788,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"10",9,6195975.36711168,148.228316463952,178.337931176528,199.11077279773,19.1298955262039,11.7091395158118,1.54866345134798,0.610533849014809,180.571404365075,16.3862311788576,6196698.00176766,6196731,543.632880549075,2.00000781980882,9.99999995563752,555.632888324521,31.2857982836138,18.0986652376223,2.82583526109619,1.28075218280709,4.5207810001342,5.80153318294129,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"11",10,6195882.02299869,163.663065137219,197.558092701875,219.175063496445,21.757765308679,13.4047918305015,1.84158798972431,0.804360699853986,210.422280636393,20.3499935090792,6196693.19149418,6196731,636.976993534324,2.00000781980882,9.99999995563752,648.977001309771,36.8319279469508,21.3265713908872,3.52422493504777,1.58822154867826,5.66829267906184,7.25651422774008,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"12",11,6195778.95820512,180.705956776215,218.604981758824,241.555435782255,24.589926752763,15.2391634238229,2.15957738918779,1.03314076791298,243.303156803001,24.8504554293557,6196687.97819167,6196731,740.041786178598,2.00000781980882,10.0000008849296,752.041794883337,42.9720666638861,24.9001970991564,4.32079787910706,1.93675173993024,6.98255081985684,8.91930255978707,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"13",12,6195660.06526083,203.542303407305,242.685792697721,266.513993101616,27.6625667536709,17.2342426133344,2.50464925741561,1.29985030270627,279.56000608134,29.931334949209,6196682.29869107,6196731,853.934731869714,2.00000781980882,14.9999994747983,870.934739164317,49.773778508075,28.8588653682612,5.22379769805983,2.32964867226341,8.47758492295304,10.8072335952165,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"14",13,6195528.86047701,227.131963109175,270.23888080237,294.568784577596,31.0393660488666,19.4283089408469,2.87997116100769,1.60775973777004,319.597976236995,35.6465123722415,6196676.04459411,6196731,980.139530938784,2.00000781980882,19.9999842282785,1002.13952298687,57.3396409115899,33.2622773491429,6.24323335726683,2.7710105214791,10.1701873130886,12.9411978345678,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"15",14,6195388.89442302,248.376757850853,299.909899027161,326.018658489743,34.7588392491942,21.8453873508372,3.28967676864547,1.96056274065425,363.885332319901,42.0604631852177,6196669.14553389,6196731,1120.10558492507,2.00000781980882,19.999984237326,1142.1055769822,65.7548886888182,38.1600406057307,7.39096528466607,3.26575975231425,12.0801286353022,15.3458883876165,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"16",15,6195233.9469185,273.093018094016,331.541438540967,360.856028107786,38.8247426902465,24.4895771153354,3.73759732822623,2.36242313257057,412.907011604801,49.2412448905923,6196661.58565974,6196731,1275.05308944741,2.00000781980882,19.999984237326,1297.05308150454,75.0725607891452,43.5830243678258,8.67953499881556,3.81908880637105,14.2284965234078,18.0475853297789,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"17",16,6195062.63409405,301.011836674158,366.023845904217,399.236806782768,43.2583881796368,27.3753836941604,4.2271544192572,2.81791164254261,467.15554745294,57.2590311969255,6196653.32116207,6196731,1446.36591388947,2.00000781980882,19.999984237326,1468.3659059466,85.3647068472698,49.5731622852528,10.121925557703,4.43634344727456,16.6373042769034,21.073647724178,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"18",17,6194873.34352503,332.149037971645,403.963408986739,441.475931256027,48.0982258752816,30.527490425073,4.76204651094495,3.33200181077931,527.15826383152,66.1900683050937,6196644.28023538,6196731,1635.65648291597,2.00000781980882,19.999984237326,1657.6564749731,96.724911386363,56.1849215408097,11.7322395471284,5.12333266017847,19.3304695086106,24.453802168789,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"19",18,6194664.25085199,366.680807410237,445.849766554825,487.979398196529,53.3923634826183,33.9764596122625,5.34656875956636,3.91012301741446,593.494498290739,76.1191626870081,6196634.37448513,6196731,1844.74915595407,2.00000781980882,19.999984237326,1866.7491480112,109.262655986332,63.4820215725377,13.5261298085529,5.88652282814486,22.3344750440154,28.2209978721603,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"20",19,6194433.31874088,404.881832265511,492.140542419829,539.215159753546,59.195393678003,37.756946341174,5.98572405934235,4.55823635122512,666.806220723013,87.1412035328865,6196623.50369957,6196731,2075.6812670674,2.00000781980882,19.999984237326,2097.68125912453,123.101265318475,71.5362386441555,15.5210691992529,7.05174605553778,27.3838699266815,34.4356159822193,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,0.2,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_TO",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
