,times,import_ON_cumul,CaseCount_ON,predict_ON,import_BC_cumul,CaseCount_BC,predict_BC,import_TO_cumul,CaseCount_TO,predict_TO,import_ON,import_BC,import_TO
1,1,1,1,NA,1,1,NA,1,1,NA,0,0,0
2,2,1,1,NA,1,1,NA,1,1,NA,0,0,0
3,3,1,1,NA,1,1,NA,2,2,NA,0,0,1
4,4,1,1,NA,1,1,NA,2,2,NA,0,0,0
5,5,1,1,NA,1,1,NA,2,2,NA,0,0,0
6,6,1,1,NA,1,1,NA,2,2,NA,0,0,0
7,7,1,1,NA,1,1,NA,2,2,NA,0,0,0
8,8,1,1,NA,1,1,NA,2,2,NA,0,0,0
9,9,1,1,NA,2,2,NA,2,2,NA,0,1,0
10,10,1,1,NA,2,2,NA,2,2,NA,0,0,0
11,11,3,3,NA,4,4,NA,2,2,NA,2,2,0
12,12,3,3,NA,4,4,NA,2,2,NA,0,0,0
13,13,3,3,NA,4,4,NA,2,2,NA,0,0,0
14,14,3,3,NA,4,4,NA,2,2,NA,0,0,0
15,15,3,3,NA,4,4,NA,2,2,NA,0,0,0
16,16,3,3,NA,4,4,NA,2,2,NA,0,0,0
17,17,3,3,NA,4,4,NA,2,2,NA,0,0,0
18,18,3,3,NA,4,4,NA,2,2,NA,0,0,0
19,19,3,3,NA,4,4,NA,2,2,NA,0,0,0
20,20,3,3,NA,4,4,NA,2,2,NA,0,0,0
21,21,3,3,NA,5,5,NA,2,2,NA,0,1,0
22,22,3,3,NA,5,5,NA,2,2,NA,0,0,0
23,23,3,3,NA,5,5,NA,2,2,NA,0,0,0
24,24,3,3,NA,5,5,NA,2,2,NA,0,0,0
25,25,3,3,NA,6,6,NA,2,2,NA,0,1,0
26,26,3,3,NA,6,6,NA,2,2,NA,0,0,0
27,27,3,3,NA,6,6,NA,2,2,NA,0,0,0
28,28,3,3,NA,6,6,NA,2,2,NA,0,0,0
29,29,3,3,NA,7,7,NA,2,2,NA,0,1,0
30,30,3,3,NA,7,7,NA,3,3,NA,0,0,1
31,31,4,4,NA,7,7,NA,3,3,NA,1,0,0
32,32,4,4,NA,7,7,NA,3,3,NA,0,0,0
33,33,4,4,4.130952381,8,8,NA,4,4,4.926190476,0,1,1
34,34,6,6,6.620238095,8,8,NA,5,5,6.794047619,2,0,1
35,35,6,6,9.10952381,8,8,NA,7,7,8.661904762,0,0,2
36,36,11,11,11.59880952,9,9,NA,10,10,10.5297619,5,1,3
